tid,ra,dec,primary_transit,secondary_transit,period,phase_difference
TIC 0100508429,85.743853,-33.120407,1439.7021629987523,1439.6603279561705,3.2180801986077037,-0.013000000000000012
TIC 0101220458,55.584755,32.09194,1797.41767155559,1791.4943338121996,7.312762646161151,-0.8099999999999999
TIC 0102841799,127.394945,66.000324,1847.3352322193389,1849.2404253836332,5.262964542249482,0.362
TIC 0103566595,68.377832,72.528607,1816.2145376111123,1815.6734535231465,4.194450294308759,-0.129
TIC 0103605167,151.250788,70.229211,1688.1726698802863,1694.3038976456435,8.456865883251249,0.725
TIC 0104909909,300.60635,35.669852,1684.4069236713035,1685.7864758778746,2.573791430169895,0.536
TIC 0107012110,162.044566,-40.000856,1571.5208195256637,1572.766635838206,3.0311832421952927,0.4109999999999999
TIC 0112099606,209.571917,-30.076578,1606.2962664880863,1610.3595624180432,10.286825139131343,0.395
TIC 0115275539,25.950511,-38.729662,1387.9238965429763,1389.133356882503,1.7630617194267553,0.6859999999999999
TIC 0115980439,84.739528,30.434016,1815.7401371052208,1817.9463724212346,2.3077775272111047,0.9559999999999998
TIC 0116853937,85.906702,33.418457,1816.1608145676444,1816.9349808140546,1.686636702418789,0.45899999999999996
TIC 0118313102,128.601542,-54.66753,1518.556196525303,1514.85390574307,9.255726955582212,-0.4
TIC 0120258315,284.50791,38.266188,1684.2046227042856,1685.971924302647,2.9115347584209865,0.607
TIC 0120610833,5.237475,-35.998263,1354.7742699013909,1354.9118194753744,3.1261266814456565,0.04400000000000004
TIC 0120684604,285.886351,39.683436,1686.5546491195212,1687.2814243546616,2.18908203355554,0.33199999999999996
TIC 0120826158,286.362429,37.026099,1687.8386077053103,1692.8475758428806,5.179905002657971,0.967
TIC 0122275115,76.529928,41.732421,1821.77892522689,1829.6574213481751,16.727167985743495,0.471
TIC 0122304494,290.132694,38.513677,1685.9867346438614,1685.4871341228875,2.921640473531752,-0.17099999999999999
TIC 0123222370,143.504633,-2.340109,1520.7605238695664,1523.486541137245,8.967162064732296,0.30400000000000005
TIC 0124095230,196.274145,-31.436721,1567.9799427292628,1569.0206074683165,10.619027949528068,0.09799999999999998
TIC 0124642273,104.63661,-9.442303,1492.9939079459512,1493.0087172041478,1.2341048497186753,0.0119999999999999
TIC 0124651221,104.575199,-6.183649,1490.6387364024506,1494.5647568021323,7.421588657243309,0.5289999999999999
TIC 0124912666,256.374196,-43.822293,,,8.111904170665204,-0.18300000000000016
TIC 0125175122,123.155653,-13.948111,1493.9384740453092,1499.6595348473354,9.6476573389984,0.593
TIC 0125501325,105.852325,-10.704536,1495.6852569832354,1497.973574540296,4.383750109311735,0.522
TIC 0131625230,147.83947,-52.888385,1544.013927254386,1544.0891842437632,2.213440864029236,0.03400000000000003
TIC 0132448273,119.625087,-40.51204,1493.6706992006425,1493.8308076641388,2.255048781637999,0.07099999999999995
TIC 0135088521,185.215375,23.320752,1904.4043825054105,1919.1738865146847,17.114141378069764,0.863
TIC 0137341354,291.718105,41.389963,1684.3120516000088,1686.78858468783,5.407277484326038,0.45799999999999996
TIC 0137549183,292.291973,38.284467,1685.6403962159454,1690.5372578339125,10.265957270371366,0.477
TIC 0138333980,95.512734,34.597352,1850.778357664056,1852.5493023978063,17.888330643940808,0.09900000000000009
TIC 0138971570,295.217482,39.91003,1684.514608318358,1685.9534035184472,1.5018739040598097,0.958
TIC 0139460937,39.078719,40.20484,1790.9407917407684,1792.30613017232,4.063507236760582,0.33599999999999997
TIC 0139699256,322.427402,-50.342173,1322.451033391581,1319.6413519197233,5.95271498274943,-0.472
TIC 0139704026,66.605271,-22.727526,1419.854795244774,1400.3312221292854,25.75669276449685,-0.758
TIC 0140659978,72.453326,-72.463231,1469.8769022796362,1474.8518325770378,9.440095440989992,0.527
TIC 0140659980,72.473353,-72.462619,1602.03731647548,1607.0122344800475,9.4400721149286,0.527
TIC 0141809359,92.642747,-73.786615,1607.7192653825734,1612.0108840568428,12.157559983765616,0.353
TIC 0141978095,96.260487,-76.090951,1609.4985740660718,1613.2460952731299,12.833976736500537,0.29200000000000004
TIC 0142262969,180.593623,-31.373656,1573.3430063874289,1584.0172809279481,15.514933925173311,0.688
TIC 0142618244,170.601805,73.075515,1843.882637935098,1846.0478358525515,4.779686351994276,0.45299999999999996
TIC 0143117999,93.766204,-8.627154,1470.1194366890888,1469.868603696052,5.70074984174617,-0.04400000000000004
TIC 0143350972,82.246367,-17.429241,1439.758370959758,1438.7642316864842,1.0817619948572734,-0.919
TIC 0144000467,336.263106,-53.810278,1333.2943312346652,1338.5886941467247,8.883159248421924,0.596
TIC 0146039664,123.461434,-35.208267,1521.6081638875655,1524.4798980873202,17.836858383569048,0.16100000000000003
TIC 0147686743,189.90193,64.674345,1725.7049330940008,1731.8329383945695,16.168879421025743,0.379
TIC 0147975720,99.597236,-37.241902,1472.0430224289098,1472.080075322668,2.850222596790697,0.013000000000000012
TIC 0148158540,229.7349,-40.788222,1601.2887523140964,1602.381837667163,1.8495522048503408,0.591
TIC 0148611095,165.214805,-7.268897,1546.9841059878916,1549.0738929614283,4.837469846150178,0.43200000000000005
TIC 0148612685,165.344374,-11.898994,1544.4868415483288,1546.8015212725084,5.0101292731159335,0.46199999999999997
TIC 0148914403,187.183092,68.920246,1690.4929937180991,1696.4555974186192,18.290195400368063,0.32599999999999996
TIC 0150031040,91.134342,-62.514434,1637.1890189550536,1637.9114590008976,9.76270332221591,0.07400000000000007
TIC 0150187916,93.714114,-62.283925,1599.304120607902,1598.6522511697954,1.1162147912782654,-0.5839999999999999
TIC 0150251466,155.362294,47.870745,1876.4672836619009,1885.7579599721337,12.387568413643717,0.75
TIC 0150284425,117.31104,-35.243286,1491.992257227185,1493.1249334418847,3.004446192837128,0.377
TIC 0151267228,118.623016,-35.867113,1497.2190120690368,1494.177831676294,9.160181905851816,-0.33199999999999996
TIC 0151516273,87.463019,-43.364639,1438.795366154413,1439.3302151711887,1.1780815347482514,0.45399999999999985
TIC 0151826930,168.055354,-37.577303,1546.0428884667306,1547.3339252417957,2.69527510452013,0.479
TIC 0153077619,49.661631,-42.642108,2139.1996024257246,2128.716895847922,16.353676408428196,-0.6409999999999999
TIC 0153741139,66.382118,-46.218813,1424.787682899245,1432.6007142499727,16.588176965451456,0.471
TIC 0155989956,7.405896,-53.536067,1361.782358613712,1379.427294849378,17.859247202091233,0.988
TIC 0156325724,124.580921,-29.389675,1504.5472324064676,1511.699537715161,11.725090669989044,0.61
TIC 0156577475,90.823631,11.136046,1468.6712450944503,1471.6250679679958,3.1257384905243644,0.945
TIC 0156921656,109.195249,41.98343,1843.7819956419928,1848.0225802542163,4.349317550998558,0.975
TIC 0157999789,213.50751,81.821001,1831.1547049764133,1849.3227367843601,26.1410529610744,0.6950000000000001
TIC 0158491288,287.631847,46.298705,1694.344570741628,1698.138805045646,12.083548738910306,0.31399999999999995
TIC 0158582801,21.86097,-49.470798,1354.7941462144126,1355.8105248511138,1.080104821148879,0.9410000000000001
TIC 0158713903,165.356167,-37.171676,1546.4384566208932,1544.3968932877365,3.5943016428816104,-0.5680000000000001
TIC 0159510109,247.535191,80.307479,1696.6959122149954,1705.7973656432052,16.9487028458284,0.5369999999999999
TIC 0159716878,291.356975,42.493631,1675.8579656175457,1673.5173368139365,16.60020428091681,-0.1409999999999999
TIC 0159897979,48.849246,-38.999794,1385.7715594718404,1391.3654332483256,14.054959237400016,0.398
TIC 0160328766,91.297,-32.730912,1470.0264426494273,1472.2963255353004,10.317649481241766,0.21999999999999997
TIC 0161840630,241.612702,57.593702,1712.174850452186,1710.0466542851022,2.130326493577364,-0.999
TIC 0161988269,262.303855,-31.534285,1628.8627156523,1630.064380902993,2.513944039106533,0.478
TIC 0162035117,330.739064,31.146325,1716.863453939209,1727.6598987041068,13.150359031544363,0.821
TIC 0164552564,283.607321,43.004158,1687.829302904892,1682.7209891871632,5.588964680228491,-0.914
TIC 0165148663,91.575555,-44.037643,1439.087524496829,1440.75865762485,1.9614238591794293,0.852
TIC 0165626871,228.035391,55.919363,1745.052241234626,1748.6523336064895,8.257092596016752,0.43600000000000005
TIC 0165725822,203.987291,-39.106484,1605.6405246026052,1609.5451991290577,11.690642294767835,0.33399999999999996
TIC 0165991532,211.097331,64.375868,1696.0239916869434,1708.9812886979726,51.41784528186172,0.252
TIC 0166833457,58.428836,-34.328218,1413.165477136642,1415.4170910628288,2.9626499028773323,0.76
TIC 0167304040,98.007507,-67.843945,1549.1998285548052,1552.499276905655,5.819132893915094,0.567
TIC 0167692429,102.716031,-63.431113,1330.5756589140824,1336.127859646491,10.262847934211912,0.5409999999999999
TIC 0168426455,106.883416,-1.309464,1493.8319365527143,1495.502546121805,3.867151780302277,0.43199999999999994
TIC 0169467727,297.525486,41.261811,1686.713973038804,1676.445760146965,19.633294248257865,-0.5230000000000001
TIC 0169815759,297.655528,40.599758,1689.815605611347,1697.4212269678942,12.427485876711106,0.612
TIC 0170344769,298.150085,40.656206,1694.4066643951571,1699.4395862536815,11.259333016833123,0.44699999999999995
TIC 0172193428,98.532011,-28.404239,1490.851314209854,1488.1012614682102,2.941232878763483,-0.9349999999999999
TIC 0173432542,112.050978,-35.947768,1493.214590750888,1494.2862737399448,5.055108438946899,0.21199999999999997
TIC 0173756896,112.874365,-36.627353,1495.6151626610126,1500.1288274017313,11.340866182710071,0.398
TIC 0178051504,107.818051,-11.293202,1492.5994499124072,1493.3690445708557,1.4631077156814845,0.526
TIC 0178168644,108.150534,-10.712231,1492.352888226806,1491.3662201037653,1.0926557287272007,-0.903
